codigo_ibge;Cidade;Acento;latitude;longitude;capital;codigo_uf;Estado
5200050;Abadia de Goiás;Abadia de Goias;-16,7573;-49,4412;0;52;GO
3100104;Abadia dos Dourados;Abadia dos Dourados;-18,4831;-47,3916;0;31;MG
5200100;Abadiânia;Abadiania;-16,197;-48,7057;0;52;GO
3100203;Abaeté;Abaete;-19,1551;-45,4444;0;31;MG
1500107;Abaetetuba;Abaetetuba;-1,72183;-48,8788;0;15;PA
2300101;Abaiara;Abaiara;-7,34588;-39,0416;0;23;CE
2900108;Abaíra;Abaira;-13,2488;-41,6619;0;29;BA
2900207;Abaré;Abare;-8,72073;-39,1162;0;29;BA
4100103;Abatiá;Abatia;-23,3049;-50,3133;0;41;PR
4200051;Abdon Batista;Abdon Batista;-27,6126;-51,0233;0;42;SC
1500131;Abel Figueiredo;Abel Figueiredo;-4,95333;-48,3933;0;15;PA
4200101;Abelardo Luz;Abelardo Luz;-26,5716;-52,3229;0;42;SC
3100302;Abre Campo;Abre Campo;-20,2996;-42,4743;0;31;MG
2600054;Abreu e Lima;Abreu e Lima;-7,90072;-34,8984;0;26;PE
1700251;Abreulândia;Abreulandia;-9,62101;-49,1518;0;17;TO
3100401;Acaiaca;Acaiaca;-20,359;-43,1439;0;31;MG
2100055;Açailândia;Acailandia;-4,94714;-47,5004;0;21;MA
2900306;Acajutiba;Acajutiba;-11,6575;-38,0197;0;29;BA
1500206;Acará;Acara;-1,95383;-48,1985;0;15;PA
2300150;Acarape;Acarape;-4,22083;-38,7055;0;23;CE
2300200;Acaraú;Acarau;-2,88769;-40,1183;0;23;CE
2400109;Acari;Acari;-6,4282;-36,6347;0;24;RN
2200053;Acauã;Acaua;-8,21954;-41,0831;0;22;PI
4300034;Aceguá;Acegua;-31,8665;-54,1615;0;43;RS
2300309;Acopiara;Acopiara;-6,08911;-39,448;0;23;CE
5100102;Acorizal;Acorizal;-15,194;-56,3632;0;51;MT
1200013;Acrelândia;Acrelandia;-9,82581;-66,8972;0;12;AC
5200134;Acreúna;Acreuna;-17,396;-50,3749;0;52;GO
2400208;Açu;Acu;-5,58362;-36,914;0;24;RN
3100500;Açucena;Acucena;-19,0671;-42,5419;0;31;MG
3500105;Adamantina;Adamantina;-21,682;-51,0737;0;35;SP
5200159;Adelândia;Adelandia;-16,4127;-50,1657;0;52;GO
3500204;Adolfo;Adolfo;-21,2325;-49,6451;0;35;SP
4100202;Adrianópolis;Adrianopolis;-24,6606;-48,9922;0;41;PR
2900355;Adustina;Adustina;-10,5437;-38,1113;0;29;BA
2600104;Afogados da Ingazeira;Afogados da Ingazeira;-7,74312;-37,631;0;26;PE
2400307;Afonso Bezerra;Afonso Bezerra;-5,49229;-36,5075;0;24;RN
3200102;Afonso Cláudio;Afonso Claudio;-20,0778;-41,1261;0;32;ES
2100105;Afonso Cunha;Afonso Cunha;-4,13631;-43,3275;0;21;MA
2600203;Afrânio;Afranio;-8,51136;-41,0095;0;26;PE
1500305;Afuá;Afua;-0,154874;-50,3861;0;15;PA
2600302;Agrestina;Agrestina;-8,45966;-35,9447;0;26;PE
2200103;Agricolândia;Agricolandia;-5,79676;-42,6664;0;22;PI
4200200;Agrolândia;Agrolandia;-27,4087;-49,822;0;42;SC
4200309;Agronômica;Agronomica;-27,2662;-49,708;0;42;SC
1500347;Água Azul do Norte;Agua Azul do Norte;-6,79053;-50,4791;0;15;PA
3100609;Água Boa;Agua Boa;-17,9914;-42,3806;0;31;MG
5100201;Água Boa;Agua Boa;-14,051;-52,1601;0;51;MT
2200202;Água Branca;Agua Branca;-5,88856;-42,637;0;22;PI
2500106;Água Branca;Agua Branca;-7,51144;-37,6357;0;25;PB
2700102;Água Branca;Agua Branca;-9,262;-37,938;0;27;AL
5000203;Água Clara;Agua Clara;-20,4452;-52,879;0;50;MS
3100708;Água Comprida;Agua Comprida;-20,0576;-48,1069;0;31;MG
4200408;Água Doce;Agua Doce;-26,9985;-51,5528;0;42;SC
2100154;Água Doce do Maranhão;Agua Doce do Maranhao;-2,84048;-42,1189;0;21;MA
3200169;Água Doce do Norte;Agua Doce do Norte;-18,5482;-40,9854;0;32;ES
2900405;Água Fria;Agua Fria;-11,8618;-38,7639;0;29;BA
5200175;Água Fria de Goiás;Agua Fria de Goias;-14,9778;-47,7823;0;52;GO
5200209;Água Limpa;Agua Limpa;-18,0771;-48,7603;0;52;GO
2400406;Água Nova;Agua Nova;-6,20351;-38,2941;0;24;RN
2600401;Água Preta;Agua Preta;-8,70609;-35,5263;0;26;PE
4300059;Água Santa;Agua Santa;-28,1672;-52,031;0;43;RS
3500303;Aguaí;Aguai;-22,0572;-46,9735;0;35;SP
3100807;Aguanil;Aguanil;-20,9439;-45,3915;0;31;MG
2600500;Águas Belas;Aguas Belas;-9,11125;-37,1226;0;26;PE
3500402;Águas da Prata;Aguas da Prata;-21,9319;-46,7176;0;35;SP
4200507;Águas de Chapecó;Aguas de Chapeco;-27,0754;-52,9808;0;42;SC
3500501;Águas de Lindóia;Aguas de Lindoia;-22,4733;-46,6314;0;35;SP
3500550;Águas de Santa Bárbara;Aguas de Santa Barbara;-22,8812;-49,2421;0;35;SP
3500600;Águas de São Pedro;Aguas de Sao Pedro;-22,5977;-47,8734;0;35;SP
3100906;Águas Formosas;Aguas Formosas;-17,0802;-40,9384;0;31;MG
4200556;Águas Frias;Aguas Frias;-26,8794;-52,8568;0;42;SC
5200258;Águas Lindas de Goiás;Aguas Lindas de Goias;-15,7617;-48,2816;0;52;GO
4200606;Águas Mornas;Aguas Mornas;-27,6963;-48,8243;0;42;SC
3101003;Águas Vermelhas;Aguas Vermelhas;-15,7431;-41,4571;0;31;MG
4300109;Agudo;Agudo;-29,6447;-53,2515;0;43;RS
3500709;Agudos;Agudos;-22,4694;-48,9863;0;35;SP
4100301;Agudos do Sul;Agudos do Sul;-25,9899;-49,3343;0;41;PR
3200136;Águia Branca;Aguia Branca;-18,9846;-40,7437;0;32;ES
2500205;Aguiar;Aguiar;-7,0918;-38,1681;0;25;PB
1700301;Aguiarnópolis;Aguiarnopolis;-6,55409;-47,4702;0;17;TO
3101102;Aimorés;Aimores;-19,5007;-41,0746;0;31;MG
2900603;Aiquara;Aiquara;-14,1269;-39,8937;0;29;BA
